frame,z_center_m,d_chess_px,z_chess_m,W_est_mm,H_est_mm,err_W_mm,err_H_mm
165,0.987,53,0.987,130.7,183.6,5.7,5.6
166,1.006,52,1.006,132.0,185.3,7.0,7.3
167,1.0257,51,1.0257,133.2,187.3,8.2,9.3
168,1.0257,51,1.0257,131.8,185.0,6.8,7.0
169,1.0257,51,1.0257,131.1,183.5,6.1,5.5
170,1.0462,50,1.0462,132.8,185.4,7.8,7.4
171,1.0462,50,1.0462,131.2,184.7,6.2,6.7
172,1.0676,49,1.0676,132.4,186.5,7.4,8.5
173,1.0676,49,1.0676,131.2,184.7,6.2,6.7
174,1.0676,49,1.0676,129.8,183.7,4.8,5.7
175,1.0898,48,1.0898,130.5,185.8,5.5,7.8
176,1.0898,48,1.0898,128.9,183.1,3.9,5.1
177,1.113,47,1.113,128.9,184.7,3.9,6.7
178,1.113,47,1.113,112.7,172.2,-12.3,-5.8
179,1.1372,46,1.1372,104.0,184.8,-21.0,6.8
180,1.1372,46,1.1372,100.7,170.8,-24.3,-7.2
181,1.1625,45,1.1625,102.9,157.4,-22.1,-20.6
182,1.1889,44,1.1889,102.9,160.0,-22.1,-18.0
183,1.1889,44,1.1889,102.6,158.5,-22.4,-19.5
184,1.2165,43,1.2165,101.3,174.3,-23.7,-3.7
185,1.2165,43,1.2165,101.5,156.4,-23.5,-21.6
186,1.2455,42,1.2455,102.6,158.7,-22.4,-19.3
187,1.2759,41,1.2759,103.0,163.2,-22.0,-14.8
188,1.2759,41,1.2759,102.3,159.8,-22.7,-18.2
189,1.3078,40,1.3078,103.3,161.5,-21.7,-16.5
190,1.3078,40,1.3078,101.9,157.6,-23.1,-20.4
191,1.3413,39,1.3413,103.3,161.0,-21.7,-17.0
192,1.3413,39,1.3413,103.4,157.8,-21.6,-20.2
193,1.3766,38,1.3766,104.1,161.3,-20.9,-16.7
194,1.3766,38,1.3766,103.9,159.8,-21.1,-18.2
195,1.4138,37,1.4138,103.1,163.6,-21.9,-14.4
196,1.4138,37,1.4138,103.2,160.3,-21.8,-17.7
197,1.4138,37,1.4138,101.5,159.0,-23.5,-19.0
198,1.4531,36,1.4531,103.3,161.8,-21.7,-16.2
199,1.4531,36,1.4531,102.8,159.6,-22.2,-18.4
200,1.4946,35,1.4946,105.4,161.5,-19.6,-16.5
201,1.4946,35,1.4946,103.7,159.2,-21.3,-18.8
202,1.4946,35,1.4946,102.6,157.8,-22.4,-20.2
203,1.5385,34,1.5385,104.0,160.2,-21.0,-17.8
204,1.5385,34,1.5385,102.7,159.5,-22.3,-18.5
205,1.5852,33,1.5852,103.8,161.5,-21.2,-16.5
206,1.5852,33,1.5852,102.2,161.4,-22.8,-16.6
207,1.8038,29,1.8038,116.5,181.0,-8.5,3.0
208,1.6347,32,1.6347,105.4,161.1,-19.6,-16.9
210,1.6874,31,1.6874,105.4,162.0,-19.6,-16.0
212,1.8682,28,1.8682,103.1,177.8,-21.9,-0.2
213,1.7437,30,1.7437,93.8,168.6,-31.2,-9.4
216,1.8038,29,1.8038,98.0,169.6,-27.0,-8.4
218,2.0119,26,2.0119,111.4,162.5,-13.6,-15.5
219,2.0119,26,2.0119,109.3,167.6,-15.7,-10.4
220,2.0119,26,2.0119,108.0,170.4,-17.0,-7.6
221,2.0119,26,2.0119,128.2,177.8,3.2,-0.2
222,2.0119,26,2.0119,128.1,188.4,3.1,10.4
223,2.0119,26,2.0119,124.0,187.5,-1.0,9.5
224,2.0119,26,2.0119,123.5,187.8,-1.5,9.8
225,1.8682,28,1.8682,99.0,174.6,-26.0,-3.4
226,1.8682,28,1.8682,97.0,174.4,-28.0,-3.6
227,1.8682,28,1.8682,96.9,173.9,-28.1,-4.1
229,1.8682,28,1.8682,97.4,172.9,-27.6,-5.1
230,1.8682,28,1.8682,111.6,170.5,-13.4,-7.5
232,2.0119,26,2.0119,84.9,178.2,-40.1,0.2
234,1.8038,29,1.8038,77.0,163.1,-48.0,-14.9
235,1.8038,29,1.8038,104.8,150.4,-20.2,-27.6
237,1.9374,27,1.9374,83.8,186.1,-41.2,8.1
239,1.7437,30,1.7437,76.9,166.0,-48.1,-12.0
240,1.7437,30,1.7437,102.2,173.3,-22.8,-4.7
241,1.9374,27,1.9374,114.0,191.0,-11.0,13.0
242,1.6874,31,1.6874,76.4,162.3,-48.6,-15.7
244,1.6874,31,1.6874,104.8,165.2,-20.2,-12.8
245,1.6347,32,1.6347,101.4,159.3,-23.6,-18.7
